onset	duration	value	trial_type	sample
11.992	0.0	42	ME_write_CN_na	11992
17.941	0.0	42	ME_write_CN_na	17941
24.958	0.0	131	MI_read_EN_a	24958
30.908	0.0	131	MI_read_EN_a	30908
37.525	0.0	101	MI_read_CN_shu	37525
43.474	0.0	101	MI_read_CN_shu	43474
49.875	0.0	22	ME_write_CN_shu	49875
55.825	0.0	22	ME_write_CN_shu	55825
62.257	0.0	32	ME_write_CN_pie	62257
68.208	0.0	32	ME_write_CN_pie	68208
74.724	0.0	12	ME_write_CN_heng	74724
80.674	0.0	12	ME_write_CN_heng	80674
87.324	0.0	52	ME_write_EN_a	87324
93.274	0.0	52	ME_write_EN_a	93274
99.757	0.0	62	ME_write_EN_b	99757
105.707	0.0	62	ME_write_EN_b	105707
112.39	0.0	121	MI_read_CN_na	112390
118.457	0.0	121	MI_read_CN_na	118457
124.857	0.0	161	MI_read_EN_d	124857
130.806	0.0	161	MI_read_EN_d	130806
137.173	0.0	91	MI_read_CN_heng	137173
143.123	0.0	91	MI_read_CN_heng	143123
149.506	0.0	82	ME_write_EN_d	149506
155.456	0.0	82	ME_write_EN_d	155456
161.873	0.0	111	MI_read_CN_pie	161873
167.823	0.0	111	MI_read_CN_pie	167823
174.372	0.0	72	ME_write_EN_c	174372
180.322	0.0	72	ME_write_EN_c	180322
186.806	0.0	151	MI_read_EN_c	186806
192.755	0.0	151	MI_read_EN_c	192755
199.189	0.0	141	MI_read_EN_b	199189
205.139	0.0	141	MI_read_EN_b	205139
211.539	0.0	101	MI_read_CN_shu	211539
217.489	0.0	101	MI_read_CN_shu	217489
223.922	0.0	161	MI_read_EN_d	223922
229.872	0.0	161	MI_read_EN_d	229872
236.372	0.0	82	ME_write_EN_d	236372
242.322	0.0	82	ME_write_EN_d	242322
248.805	0.0	32	ME_write_CN_pie	248805
254.755	0.0	32	ME_write_CN_pie	254755
261.205	0.0	91	MI_read_CN_heng	261205
267.154	0.0	91	MI_read_CN_heng	267154
273.771	0.0	111	MI_read_CN_pie	273771
279.721	0.0	111	MI_read_CN_pie	279721
286.387	0.0	62	ME_write_EN_b	286387
292.338	0.0	62	ME_write_EN_b	292338
298.904	0.0	42	ME_write_CN_na	298904
304.854	0.0	42	ME_write_CN_na	304854
311.204	0.0	131	MI_read_EN_a	311204
317.154	0.0	131	MI_read_EN_a	317154
323.554	0.0	151	MI_read_EN_c	323554
329.503	0.0	151	MI_read_EN_c	329503
335.953	0.0	121	MI_read_CN_na	335953
341.903	0.0	121	MI_read_CN_na	341903
348.62	0.0	52	ME_write_EN_a	348620
354.603	0.0	52	ME_write_EN_a	354603
361.02	0.0	22	ME_write_CN_shu	361020
366.97	0.0	22	ME_write_CN_shu	366970
373.653	0.0	12	ME_write_CN_heng	373653
379.603	0.0	12	ME_write_CN_heng	379603
386.486	0.0	72	ME_write_EN_c	386486
392.436	0.0	72	ME_write_EN_c	392436
398.82	0.0	141	MI_read_EN_b	398820
404.769	0.0	141	MI_read_EN_b	404769
