onset	duration	value	trial_type	sample
10.238	0.0	141	MI_read_EN_b	10238
16.189	0.0	141	MI_read_EN_b	16189
23.838	0.0	151	MI_read_EN_c	23838
29.788	0.0	151	MI_read_EN_c	29788
36.571	0.0	101	MI_read_CN_shu	36571
42.521	0.0	101	MI_read_CN_shu	42521
49.288	0.0	52	ME_write_EN_a	49288
55.238	0.0	52	ME_write_EN_a	55238
61.537	0.0	62	ME_write_EN_b	61537
67.487	0.0	62	ME_write_EN_b	67487
73.954	0.0	161	MI_read_EN_d	73954
79.904	0.0	161	MI_read_EN_d	79904
86.304	0.0	111	MI_read_CN_pie	86304
92.254	0.0	111	MI_read_CN_pie	92254
98.704	0.0	32	ME_write_CN_pie	98704
104.654	0.0	32	ME_write_CN_pie	104654
111.537	0.0	121	MI_read_CN_na	111537
117.487	0.0	121	MI_read_CN_na	117487
124.52	0.0	22	ME_write_CN_shu	124520
130.47	0.0	22	ME_write_CN_shu	130470
137.853	0.0	42	ME_write_CN_na	137853
143.803	0.0	42	ME_write_CN_na	143803
150.486	0.0	91	MI_read_CN_heng	150486
156.436	0.0	91	MI_read_CN_heng	156436
162.836	0.0	12	ME_write_CN_heng	162836
168.786	0.0	12	ME_write_CN_heng	168786
176.919	0.0	131	MI_read_EN_a	176919
182.869	0.0	131	MI_read_EN_a	182869
189.353	0.0	72	ME_write_EN_c	189353
195.302	0.0	72	ME_write_EN_c	195302
201.952	0.0	82	ME_write_EN_d	201952
207.902	0.0	82	ME_write_EN_d	207902
214.402	0.0	141	MI_read_EN_b	214402
220.352	0.0	141	MI_read_EN_b	220352
226.752	0.0	101	MI_read_CN_shu	226752
232.702	0.0	101	MI_read_CN_shu	232702
239.185	0.0	82	ME_write_EN_d	239185
245.135	0.0	82	ME_write_EN_d	245135
252.068	0.0	62	ME_write_EN_b	252068
258.018	0.0	62	ME_write_EN_b	258018
265.185	0.0	111	MI_read_CN_pie	265185
271.135	0.0	111	MI_read_CN_pie	271135
277.668	0.0	42	ME_write_CN_na	277668
283.618	0.0	42	ME_write_CN_na	283618
290.168	0.0	52	ME_write_EN_a	290168
296.118	0.0	52	ME_write_EN_a	296118
303.234	0.0	121	MI_read_CN_na	303234
309.184	0.0	121	MI_read_CN_na	309184
315.667	0.0	32	ME_write_CN_pie	315667
321.617	0.0	32	ME_write_CN_pie	321617
328.7	0.0	12	ME_write_CN_heng	328700
334.65	0.0	12	ME_write_CN_heng	334650
341.084	0.0	91	MI_read_CN_heng	341084
347.034	0.0	91	MI_read_CN_heng	347034
353.617	0.0	22	ME_write_CN_shu	353617
359.567	0.0	22	ME_write_CN_shu	359567
366.033	0.0	72	ME_write_EN_c	366033
371.983	0.0	72	ME_write_EN_c	371983
378.4	0.0	161	MI_read_EN_d	378400
384.35	0.0	161	MI_read_EN_d	384350
390.866	0.0	131	MI_read_EN_a	390866
396.816	0.0	131	MI_read_EN_a	396816
403.316	0.0	151	MI_read_EN_c	403316
409.266	0.0	151	MI_read_EN_c	409266
