onset	duration	value	trial_type	sample
9.128	0.0	101	MI_read_CN_shu	9128
15.078	0.0	102	ME_read_CN_shu	15078
21.561	0.0	11	MI_write_CN_heng	21561
27.511	0.0	12	ME_write_CN_heng	27511
34.328	0.0	31	MI_write_CN_pie	34328
40.279	0.0	32	ME_write_CN_pie	40279
47.379	0.0	81	MI_write_EN_d	47379
53.328	0.0	82	ME_write_EN_d	53328
60.294	0.0	111	MI_read_CN_pie	60294
66.244	0.0	112	ME_read_CN_pie	66244
74.377	0.0	21	MI_write_CN_shu	74377
80.344	0.0	22	ME_write_CN_shu	80344
86.894	0.0	91	MI_read_CN_heng	86894
92.844	0.0	92	ME_read_CN_heng	92844
100.011	0.0	71	MI_write_EN_c	100011
105.96	0.0	72	ME_write_EN_c	105960
112.46	0.0	51	MI_write_EN_a	112460
118.41	0.0	52	ME_write_EN_a	118410
124.943	0.0	61	MI_write_EN_b	124943
130.893	0.0	62	ME_write_EN_b	130893
137.626	0.0	41	MI_write_CN_na	137626
143.576	0.0	42	ME_write_CN_na	143576
150.711	0.0	141	MI_read_EN_b	150711
156.659	0.0	142	ME_read_EN_b	156659
163.143	0.0	161	MI_read_EN_d	163143
169.093	0.0	162	ME_read_EN_d	169093
175.859	0.0	151	MI_read_EN_c	175859
181.809	0.0	152	ME_read_EN_c	181809
188.559	0.0	131	MI_read_EN_a	188559
194.509	0.0	132	ME_read_EN_a	194509
201.175	0.0	121	MI_read_CN_na	201175
207.125	0.0	122	ME_read_CN_na	207125
213.842	0.0	81	MI_write_EN_d	213842
219.792	0.0	82	ME_write_EN_d	219792
226.392	0.0	151	MI_read_EN_c	226392
232.358	0.0	152	ME_read_EN_c	232358
239.943	0.0	41	MI_write_CN_na	239943
245.894	0.0	42	ME_write_CN_na	245894
255.908	0.0	121	MI_read_CN_na	255908
261.858	0.0	122	ME_read_CN_na	261858
271.258	0.0	111	MI_read_CN_pie	271258
277.208	0.0	112	ME_read_CN_pie	277208
283.724	0.0	71	MI_write_EN_c	283724
289.674	0.0	72	ME_write_EN_c	289674
296.358	0.0	141	MI_read_EN_b	296358
302.308	0.0	142	ME_read_EN_b	302308
308.974	0.0	51	MI_write_EN_a	308974
314.941	0.0	52	ME_write_EN_a	314941
321.457	0.0	161	MI_read_EN_d	321457
327.407	0.0	162	ME_read_EN_d	327407
335.241	0.0	61	MI_write_EN_b	335241
341.191	0.0	62	ME_write_EN_b	341191
347.625	0.0	131	MI_read_EN_a	347625
353.573	0.0	132	ME_read_EN_a	353573
361.14	0.0	101	MI_read_CN_shu	361140
367.091	0.0	102	ME_read_CN_shu	367091
373.59	0.0	21	MI_write_CN_shu	373590
379.54	0.0	22	ME_write_CN_shu	379540
387.206	0.0	11	MI_write_CN_heng	387206
393.156	0.0	12	ME_write_CN_heng	393156
399.74	0.0	91	MI_read_CN_heng	399740
405.689	0.0	92	ME_read_CN_heng	405689
412.456	0.0	31	MI_write_CN_pie	412456
418.406	0.0	32	ME_write_CN_pie	418406
