onset	duration	value	trial_type	sample
13.893	0.0	11	MI_write_CN_heng	13893
19.843	0.0	12	ME_write_CN_heng	19843
26.942	0.0	151	MI_read_EN_c	26942
32.893	0.0	152	ME_read_EN_c	32893
40.492	0.0	121	MI_read_CN_na	40492
46.442	0.0	122	ME_read_CN_na	46442
53.292	0.0	61	MI_write_EN_b	53292
59.242	0.0	62	ME_write_EN_b	59242
66.809	0.0	71	MI_write_EN_c	66809
72.759	0.0	72	ME_write_EN_c	72759
80.242	0.0	111	MI_read_CN_pie	80242
86.192	0.0	112	ME_read_CN_pie	86192
92.875	0.0	31	MI_write_CN_pie	92875
98.825	0.0	32	ME_write_CN_pie	98825
105.575	0.0	81	MI_write_EN_d	105575
111.525	0.0	82	ME_write_EN_d	111525
118.792	0.0	141	MI_read_EN_b	118792
124.741	0.0	142	ME_read_EN_b	124741
131.208	0.0	101	MI_read_CN_shu	131208
137.158	0.0	102	ME_read_CN_shu	137158
143.925	0.0	131	MI_read_EN_a	143925
149.874	0.0	132	ME_read_EN_a	149874
156.724	0.0	161	MI_read_EN_d	156724
162.674	0.0	162	ME_read_EN_d	162674
169.141	0.0	41	MI_write_CN_na	169141
175.091	0.0	42	ME_write_CN_na	175091
182.941	0.0	91	MI_read_CN_heng	182941
188.891	0.0	92	ME_read_CN_heng	188891
195.407	0.0	51	MI_write_EN_a	195407
201.357	0.0	52	ME_write_EN_a	201357
208.657	0.0	21	MI_write_CN_shu	208657
214.607	0.0	22	ME_write_CN_shu	214607
221.457	0.0	31	MI_write_CN_pie	221457
227.407	0.0	32	ME_write_CN_pie	227407
234.49	0.0	91	MI_read_CN_heng	234490
240.44	0.0	92	ME_read_CN_heng	240440
246.94	0.0	11	MI_write_CN_heng	246940
252.89	0.0	12	ME_write_CN_heng	252890
259.956	0.0	121	MI_read_CN_na	259956
265.906	0.0	122	ME_read_CN_na	265906
272.923	0.0	61	MI_write_EN_b	272923
278.873	0.0	62	ME_write_EN_b	278873
286.289	0.0	71	MI_write_EN_c	286289
292.239	0.0	72	ME_write_EN_c	292239
299.056	0.0	101	MI_read_CN_shu	299056
305.006	0.0	102	ME_read_CN_shu	305006
311.622	0.0	161	MI_read_EN_d	311622
317.572	0.0	162	ME_read_EN_d	317572
324.289	0.0	81	MI_write_EN_d	324289
330.239	0.0	82	ME_write_EN_d	330239
337.155	0.0	41	MI_write_CN_na	337155
343.105	0.0	42	ME_write_CN_na	343105
350.205	0.0	21	MI_write_CN_shu	350205
356.155	0.0	22	ME_write_CN_shu	356155
363.122	0.0	111	MI_read_CN_pie	363122
369.072	0.0	112	ME_read_CN_pie	369072
375.755	0.0	51	MI_write_EN_a	375755
381.705	0.0	52	ME_write_EN_a	381705
390.705	0.0	131	MI_read_EN_a	390705
396.654	0.0	132	ME_read_EN_a	396654
403.271	0.0	151	MI_read_EN_c	403271
409.221	0.0	152	ME_read_EN_c	409221
415.988	0.0	141	MI_read_EN_b	415988
421.937	0.0	142	ME_read_EN_b	421937
