onset	duration	value	trial_type	sample
19.054	0.0	91	MI_read_CN_heng	19054
25.004	0.0	92	ME_read_CN_heng	25004
32.187	0.0	141	MI_read_EN_b	32187
38.137	0.0	142	ME_read_EN_b	38137
45.22	0.0	31	MI_write_CN_pie	45220
51.17	0.0	32	ME_write_CN_pie	51170
59.27	0.0	51	MI_write_EN_a	59270
65.22	0.0	52	ME_write_EN_a	65220
72.353	0.0	121	MI_read_CN_na	72353
78.303	0.0	122	ME_read_CN_na	78303
85.886	0.0	131	MI_read_EN_a	85886
91.836	0.0	132	ME_read_EN_a	91836
99.086	0.0	111	MI_read_CN_pie	99086
105.036	0.0	112	ME_read_CN_pie	105036
112.069	0.0	61	MI_write_EN_b	112069
118.019	0.0	62	ME_write_EN_b	118019
125.002	0.0	41	MI_write_CN_na	125002
130.952	0.0	42	ME_write_CN_na	130952
137.869	0.0	71	MI_write_EN_c	137869
143.819	0.0	72	ME_write_EN_c	143819
150.735	0.0	11	MI_write_CN_heng	150735
156.685	0.0	12	ME_write_CN_heng	156685
163.718	0.0	81	MI_write_EN_d	163718
169.668	0.0	82	ME_write_EN_d	169668
176.568	0.0	101	MI_read_CN_shu	176568
182.518	0.0	102	ME_read_CN_shu	182518
189.535	0.0	21	MI_write_CN_shu	189535
195.485	0.0	22	ME_write_CN_shu	195485
203.018	0.0	161	MI_read_EN_d	203018
208.968	0.0	162	ME_read_EN_d	208968
216.151	0.0	151	MI_read_EN_c	216151
222.101	0.0	152	ME_read_EN_c	222101
229.018	0.0	61	MI_write_EN_b	229018
234.967	0.0	62	ME_write_EN_b	234967
242.134	0.0	31	MI_write_CN_pie	242134
248.084	0.0	32	ME_write_CN_pie	248084
255.1	0.0	51	MI_write_EN_a	255100
261.051	0.0	52	ME_write_EN_a	261051
267.9	0.0	121	MI_read_CN_na	267900
273.85	0.0	122	ME_read_CN_na	273850
280.784	0.0	71	MI_write_EN_c	280784
286.733	0.0	72	ME_write_EN_c	286733
293.667	0.0	41	MI_write_CN_na	293667
299.617	0.0	42	ME_write_CN_na	299617
307.25	0.0	111	MI_read_CN_pie	307250
313.2	0.0	112	ME_read_CN_pie	313200
321.2	0.0	131	MI_read_EN_a	321200
327.15	0.0	132	ME_read_EN_a	327150
334.066	0.0	101	MI_read_CN_shu	334066
340.016	0.0	102	ME_read_CN_shu	340016
347.099	0.0	161	MI_read_EN_d	347099
353.049	0.0	162	ME_read_EN_d	353049
360.033	0.0	91	MI_read_CN_heng	360033
365.982	0.0	92	ME_read_CN_heng	365982
372.949	0.0	81	MI_write_EN_d	372949
378.899	0.0	82	ME_write_EN_d	378899
386.265	0.0	21	MI_write_CN_shu	386265
392.215	0.0	22	ME_write_CN_shu	392215
398.932	0.0	141	MI_read_EN_b	398932
404.882	0.0	142	ME_read_EN_b	404882
412.148	0.0	151	MI_read_EN_c	412148
418.098	0.0	152	ME_read_EN_c	418098
425.132	0.0	11	MI_write_CN_heng	425132
431.082	0.0	12	ME_write_CN_heng	431082
