onset	duration	value	trial_type	sample
20.891	0.0	61	MI_write_EN_b	20891
26.841	0.0	62	ME_write_EN_b	26841
35.407	0.0	41	MI_write_CN_na	35407
41.357	0.0	42	ME_write_CN_na	41357
49.407	0.0	51	MI_write_EN_a	49407
55.357	0.0	52	ME_write_EN_a	55357
62.357	0.0	91	MI_read_CN_heng	62357
68.307	0.0	92	ME_read_CN_heng	68307
80.29	0.0	151	MI_read_EN_c	80290
86.24	0.0	152	ME_read_EN_c	86240
92.79	0.0	21	MI_write_CN_shu	92790
98.74	0.0	22	ME_write_CN_shu	98740
105.34	0.0	131	MI_read_EN_a	105340
111.29	0.0	132	ME_read_EN_a	111290
119.189	0.0	111	MI_read_CN_pie	119189
125.139	0.0	112	ME_read_CN_pie	125139
132.223	0.0	11	MI_write_CN_heng	132223
138.173	0.0	12	ME_write_CN_heng	138173
150.722	0.0	101	MI_read_CN_shu	150722
156.672	0.0	102	ME_read_CN_shu	156672
165.739	0.0	81	MI_write_EN_d	165739
171.689	0.0	82	ME_write_EN_d	171689
181.772	0.0	121	MI_read_CN_na	181772
187.722	0.0	122	ME_read_CN_na	187722
194.172	0.0	141	MI_read_EN_b	194172
200.122	0.0	142	ME_read_EN_b	200122
207.139	0.0	31	MI_write_CN_pie	207139
213.088	0.0	32	ME_write_CN_pie	213088
219.822	0.0	71	MI_write_EN_c	219822
225.772	0.0	72	ME_write_EN_c	225772
237.771	0.0	161	MI_read_EN_d	237771
243.721	0.0	162	ME_read_EN_d	243721
260.371	0.0	41	MI_write_CN_na	260371
266.321	0.0	42	ME_write_CN_na	266321
274.321	0.0	161	MI_read_EN_d	274321
280.271	0.0	162	ME_read_EN_d	280271
291.621	0.0	21	MI_write_CN_shu	291621
297.57	0.0	22	ME_write_CN_shu	297570
304.137	0.0	31	MI_write_CN_pie	304137
310.087	0.0	32	ME_write_CN_pie	310087
316.854	0.0	141	MI_read_EN_b	316854
322.804	0.0	142	ME_read_EN_b	322804
329.687	0.0	131	MI_read_EN_a	329687
335.637	0.0	132	ME_read_EN_a	335637
342.47	0.0	11	MI_write_CN_heng	342470
348.42	0.0	12	ME_write_CN_heng	348420
359.92	0.0	71	MI_write_EN_c	359920
365.87	0.0	72	ME_write_EN_c	365870
373.953	0.0	51	MI_write_EN_a	373953
379.903	0.0	52	ME_write_EN_a	379903
386.336	0.0	61	MI_write_EN_b	386336
392.286	0.0	62	ME_write_EN_b	392286
399.136	0.0	91	MI_read_CN_heng	399136
405.086	0.0	92	ME_read_CN_heng	405086
411.652	0.0	151	MI_read_EN_c	411652
417.602	0.0	152	ME_read_EN_c	417602
424.236	0.0	81	MI_write_EN_d	424236
430.185	0.0	82	ME_write_EN_d	430185
436.969	0.0	101	MI_read_CN_shu	436969
442.919	0.0	102	ME_read_CN_shu	442919
456.352	0.0	111	MI_read_CN_pie	456352
462.302	0.0	112	ME_read_CN_pie	462302
469.168	0.0	121	MI_read_CN_na	469168
475.118	0.0	122	ME_read_CN_na	475118
