onset	duration	value	trial_type	sample
13.086	0.0	31	MI_write_CN_pie	13086
19.036	0.0	32	ME_write_CN_pie	19036
27.736	0.0	161	MI_read_EN_d	27736
33.686	0.0	162	ME_read_EN_d	33686
41.436	0.0	51	MI_write_EN_a	41436
47.386	0.0	52	ME_write_EN_a	47386
56.236	0.0	91	MI_read_CN_heng	56236
62.186	0.0	92	ME_read_CN_heng	62186
70.702	0.0	111	MI_read_CN_pie	70702
76.652	0.0	112	ME_read_CN_pie	76652
84.719	0.0	71	MI_write_EN_c	84719
90.669	0.0	72	ME_write_EN_c	90669
98.118	0.0	41	MI_write_CN_na	98118
104.068	0.0	42	ME_write_CN_na	104068
112.268	0.0	151	MI_read_EN_c	112268
118.218	0.0	152	ME_read_EN_c	118218
126.368	0.0	21	MI_write_CN_shu	126368
132.318	0.0	22	ME_write_CN_shu	132318
141.518	0.0	81	MI_write_EN_d	141518
147.468	0.0	82	ME_write_EN_d	147468
162.501	0.0	11	MI_write_CN_heng	162501
168.451	0.0	12	ME_write_CN_heng	168451
175.301	0.0	101	MI_read_CN_shu	175301
181.25	0.0	102	ME_read_CN_shu	181250
194.6	0.0	121	MI_read_CN_na	194600
200.55	0.0	122	ME_read_CN_na	200550
213.717	0.0	131	MI_read_EN_a	213717
219.667	0.0	132	ME_read_EN_a	219667
229.583	0.0	141	MI_read_EN_b	229583
235.533	0.0	142	ME_read_EN_b	235533
245.066	0.0	61	MI_write_EN_b	245066
251.016	0.0	62	ME_write_EN_b	251016
259.499	0.0	111	MI_read_CN_pie	259499
265.449	0.0	112	ME_read_CN_pie	265449
272.682	0.0	71	MI_write_EN_c	272682
278.632	0.0	72	ME_write_EN_c	278632
292.882	0.0	151	MI_read_EN_c	292882
298.832	0.0	152	ME_read_EN_c	298832
307.498	0.0	91	MI_read_CN_heng	307498
313.448	0.0	92	ME_read_CN_heng	313448
322.599	0.0	31	MI_write_CN_pie	322599
328.548	0.0	32	ME_write_CN_pie	328548
336.781	0.0	11	MI_write_CN_heng	336781
342.731	0.0	12	ME_write_CN_heng	342731
350.215	0.0	161	MI_read_EN_d	350215
356.165	0.0	162	ME_read_EN_d	356165
368.231	0.0	81	MI_write_EN_d	368231
374.181	0.0	82	ME_write_EN_d	374181
381.331	0.0	51	MI_write_EN_a	381331
387.281	0.0	52	ME_write_EN_a	387281
403.064	0.0	121	MI_read_CN_na	403064
409.014	0.0	122	ME_read_CN_na	409014
416.98	0.0	131	MI_read_EN_a	416980
422.93	0.0	132	ME_read_EN_a	422930
432.747	0.0	41	MI_write_CN_na	432747
438.697	0.0	42	ME_write_CN_na	438697
448.83	0.0	141	MI_read_EN_b	448830
454.78	0.0	142	ME_read_EN_b	454780
461.613	0.0	21	MI_write_CN_shu	461613
467.563	0.0	22	ME_write_CN_shu	467563
475.563	0.0	101	MI_read_CN_shu	475563
481.513	0.0	102	ME_read_CN_shu	481513
488.829	0.0	61	MI_write_EN_b	488829
494.779	0.0	62	ME_write_EN_b	494779
