onset	duration	value	trial_type	sample
18.863	0.0	81	MI_write_EN_d	18863
24.813	0.0	82	ME_write_EN_d	24813
34.163	0.0	21	MI_write_CN_shu	34163
40.113	0.0	22	ME_write_CN_shu	40113
49.629	0.0	31	MI_write_CN_pie	49629
55.579	0.0	32	ME_write_CN_pie	55579
64.446	0.0	131	MI_read_EN_a	64446
70.396	0.0	132	ME_read_EN_a	70396
77.846	0.0	11	MI_write_CN_heng	77846
83.796	0.0	12	ME_write_CN_heng	83796
96.279	0.0	61	MI_write_EN_b	96279
102.229	0.0	62	ME_write_EN_b	102229
110.296	0.0	101	MI_read_CN_shu	110296
116.245	0.0	102	ME_read_CN_shu	116245
123.745	0.0	91	MI_read_CN_heng	123745
129.695	0.0	92	ME_read_CN_heng	129695
142.945	0.0	151	MI_read_EN_c	142945
148.895	0.0	152	ME_read_EN_c	148895
156.544	0.0	141	MI_read_EN_b	156544
162.494	0.0	142	ME_read_EN_b	162494
169.261	0.0	161	MI_read_EN_d	169261
175.211	0.0	162	ME_read_EN_d	175211
186.444	0.0	51	MI_write_EN_a	186444
192.394	0.0	52	ME_write_EN_a	192394
200.727	0.0	111	MI_read_CN_pie	200727
206.677	0.0	112	ME_read_CN_pie	206677
217.91	0.0	121	MI_read_CN_na	217910
223.86	0.0	122	ME_read_CN_na	223860
234.076	0.0	41	MI_write_CN_na	234076
240.027	0.0	42	ME_write_CN_na	240027
247.527	0.0	71	MI_write_EN_c	247527
253.477	0.0	72	ME_write_EN_c	253477
260.76	0.0	71	MI_write_EN_c	260760
266.71	0.0	72	ME_write_EN_c	266710
273.942	0.0	61	MI_write_EN_b	273942
279.892	0.0	62	ME_write_EN_b	279892
287.209	0.0	121	MI_read_CN_na	287209
293.159	0.0	122	ME_read_CN_na	293159
300.259	0.0	141	MI_read_EN_b	300259
306.209	0.0	142	ME_read_EN_b	306209
313.209	0.0	31	MI_write_CN_pie	313209
319.158	0.0	32	ME_write_CN_pie	319158
330.408	0.0	101	MI_read_CN_shu	330408
336.358	0.0	102	ME_read_CN_shu	336358
343.675	0.0	81	MI_write_EN_d	343675
349.625	0.0	82	ME_write_EN_d	349625
356.524	0.0	151	MI_read_EN_c	356524
362.474	0.0	152	ME_read_EN_c	362474
370.291	0.0	111	MI_read_CN_pie	370291
376.241	0.0	112	ME_read_CN_pie	376241
386.157	0.0	51	MI_write_EN_a	386157
392.107	0.0	52	ME_write_EN_a	392107
402.507	0.0	41	MI_write_CN_na	402507
408.457	0.0	42	ME_write_CN_na	408457
415.84	0.0	161	MI_read_EN_d	415840
421.79	0.0	162	ME_read_EN_d	421790
432.907	0.0	11	MI_write_CN_heng	432907
438.857	0.0	12	ME_write_CN_heng	438857
446.106	0.0	131	MI_read_EN_a	446106
452.056	0.0	132	ME_read_EN_a	452056
459.656	0.0	21	MI_write_CN_shu	459656
465.606	0.0	22	ME_write_CN_shu	465606
473.556	0.0	91	MI_read_CN_heng	473556
479.506	0.0	92	ME_read_CN_heng	479506
