onset	duration	value	trial_type	sample
12.351	0.0	61	MI_write_EN_b	12351
18.301	0.0	62	ME_write_EN_b	18301
25.034	0.0	161	MI_read_EN_d	25034
30.984	0.0	162	ME_read_EN_d	30984
42.301	0.0	91	MI_read_CN_heng	42301
48.25	0.0	92	ME_read_CN_heng	48250
55.868	0.0	31	MI_write_CN_pie	55868
61.817	0.0	32	ME_write_CN_pie	61817
70.15	0.0	151	MI_read_EN_c	70150
76.1	0.0	152	ME_read_EN_c	76100
84.133	0.0	11	MI_write_CN_heng	84133
90.083	0.0	12	ME_write_CN_heng	90083
98.966	0.0	71	MI_write_EN_c	98966
104.916	0.0	72	ME_write_EN_c	104916
114.749	0.0	131	MI_read_EN_a	114749
120.699	0.0	132	ME_read_EN_a	120699
127.183	0.0	141	MI_read_EN_b	127183
133.133	0.0	142	ME_read_EN_b	133133
141.532	0.0	121	MI_read_CN_na	141532
147.483	0.0	122	ME_read_CN_na	147483
156.449	0.0	111	MI_read_CN_pie	156449
162.399	0.0	112	ME_read_CN_pie	162399
170.982	0.0	51	MI_write_EN_a	170982
176.932	0.0	52	ME_write_EN_a	176932
196.382	0.0	41	MI_write_CN_na	196382
202.332	0.0	42	ME_write_CN_na	202332
212.281	0.0	101	MI_read_CN_shu	212281
218.231	0.0	102	ME_read_CN_shu	218231
224.931	0.0	21	MI_write_CN_shu	224931
230.881	0.0	22	ME_write_CN_shu	230881
237.331	0.0	81	MI_write_EN_d	237331
243.281	0.0	82	ME_write_EN_d	243281
259.048	0.0	141	MI_read_EN_b	259048
264.998	0.0	142	ME_read_EN_b	264998
293.297	0.0	61	MI_write_EN_b	293297
299.247	0.0	62	ME_write_EN_b	299247
305.98	0.0	11	MI_write_CN_heng	305980
311.93	0.0	12	ME_write_CN_heng	311930
319.78	0.0	101	MI_read_CN_shu	319780
325.73	0.0	102	ME_read_CN_shu	325730
332.23	0.0	91	MI_read_CN_heng	332230
338.18	0.0	92	ME_read_CN_heng	338180
344.796	0.0	111	MI_read_CN_pie	344796
350.746	0.0	112	ME_read_CN_pie	350746
357.48	0.0	21	MI_write_CN_shu	357480
363.43	0.0	22	ME_write_CN_shu	363430
370.663	0.0	161	MI_read_EN_d	370663
376.613	0.0	162	ME_read_EN_d	376613
383.229	0.0	81	MI_write_EN_d	383229
389.179	0.0	82	ME_write_EN_d	389179
396.862	0.0	31	MI_write_CN_pie	396862
402.812	0.0	32	ME_write_CN_pie	402812
414.279	0.0	71	MI_write_EN_c	414279
420.229	0.0	72	ME_write_EN_c	420229
426.662	0.0	121	MI_read_CN_na	426662
432.612	0.0	122	ME_read_CN_na	432612
439.312	0.0	151	MI_read_EN_c	439312
445.262	0.0	152	ME_read_EN_c	445262
452.895	0.0	41	MI_write_CN_na	452895
458.845	0.0	42	ME_write_CN_na	458845
467.578	0.0	131	MI_read_EN_a	467578
473.528	0.0	132	ME_read_EN_a	473528
479.945	0.0	51	MI_write_EN_a	479945
485.895	0.0	52	ME_write_EN_a	485895
