onset	duration	value	trial_type	sample
15.474	0.0	151	MI_read_EN_c	15474
21.424	0.0	152	ME_read_EN_c	21424
28.007	0.0	101	MI_read_CN_shu	28007
33.957	0.0	102	ME_read_CN_shu	33957
40.657	0.0	91	MI_read_CN_heng	40657
46.607	0.0	92	ME_read_CN_heng	46607
53.223	0.0	111	MI_read_CN_pie	53223
59.173	0.0	112	ME_read_CN_pie	59173
65.657	0.0	51	MI_write_EN_a	65657
71.606	0.0	52	ME_write_EN_a	71606
78.506	0.0	31	MI_write_CN_pie	78506
84.456	0.0	32	ME_write_CN_pie	84456
92.69	0.0	81	MI_write_EN_d	92690
98.639	0.0	82	ME_write_EN_d	98639
105.76	0.0	71	MI_write_EN_c	105760
111.706	0.0	72	ME_write_EN_c	111706
120.956	0.0	141	MI_read_EN_b	120956
126.906	0.0	142	ME_read_EN_b	126906
133.589	0.0	11	MI_write_CN_heng	133589
139.54	0.0	12	ME_write_CN_heng	139540
146.106	0.0	121	MI_read_CN_na	146106
152.055	0.0	122	ME_read_CN_na	152055
158.756	0.0	131	MI_read_EN_a	158756
164.705	0.0	132	ME_read_EN_a	164705
171.291	0.0	161	MI_read_EN_d	171291
177.238	0.0	162	ME_read_EN_d	177238
183.658	0.0	61	MI_write_EN_b	183658
189.605	0.0	62	ME_write_EN_b	189605
196.372	0.0	41	MI_write_CN_na	196372
202.321	0.0	42	ME_write_CN_na	202321
209.038	0.0	21	MI_write_CN_shu	209038
214.988	0.0	22	ME_write_CN_shu	214988
221.938	0.0	31	MI_write_CN_pie	221938
227.888	0.0	32	ME_write_CN_pie	227888
234.521	0.0	131	MI_read_EN_a	234521
240.471	0.0	132	ME_read_EN_a	240471
246.921	0.0	71	MI_write_EN_c	246921
252.87	0.0	72	ME_write_EN_c	252870
259.688	0.0	121	MI_read_CN_na	259688
265.637	0.0	122	ME_read_CN_na	265637
272.122	0.0	81	MI_write_EN_d	272122
278.07	0.0	82	ME_write_EN_d	278070
284.604	0.0	41	MI_write_CN_na	284604
290.553	0.0	42	ME_write_CN_na	290553
297.154	0.0	101	MI_read_CN_shu	297154
303.103	0.0	102	ME_read_CN_shu	303103
309.604	0.0	111	MI_read_CN_pie	309604
315.553	0.0	112	ME_read_CN_pie	315553
322.287	0.0	91	MI_read_CN_heng	322287
328.236	0.0	92	ME_read_CN_heng	328236
335.186	0.0	51	MI_write_EN_a	335186
341.136	0.0	52	ME_write_EN_a	341136
347.97	0.0	61	MI_write_EN_b	347970
353.92	0.0	62	ME_write_EN_b	353920
360.47	0.0	151	MI_read_EN_c	360470
366.42	0.0	152	ME_read_EN_c	366420
372.886	0.0	21	MI_write_CN_shu	372886
378.836	0.0	22	ME_write_CN_shu	378836
385.719	0.0	141	MI_read_EN_b	385719
391.669	0.0	142	ME_read_EN_b	391669
398.469	0.0	11	MI_write_CN_heng	398469
404.418	0.0	12	ME_write_CN_heng	404418
410.952	0.0	161	MI_read_EN_d	410952
416.902	0.0	162	ME_read_EN_d	416902
