onset	duration	value	trial_type	sample
16.409	0.0	71	MI_write_EN_c	16409
22.359	0.0	72	ME_write_EN_c	22359
29.076	0.0	161	MI_read_EN_d	29076
35.025	0.0	162	ME_read_EN_d	35025
41.676	0.0	121	MI_read_CN_na	41676
47.625	0.0	122	ME_read_CN_na	47625
53.992	0.0	101	MI_read_CN_shu	53992
59.942	0.0	102	ME_read_CN_shu	59942
66.559	0.0	151	MI_read_EN_c	66559
72.508	0.0	152	ME_read_EN_c	72508
79.058	0.0	61	MI_write_EN_b	79058
85.008	0.0	62	ME_write_EN_b	85008
91.591	0.0	31	MI_write_CN_pie	91591
97.541	0.0	32	ME_write_CN_pie	97541
104.291	0.0	141	MI_read_EN_b	104291
110.241	0.0	142	ME_read_EN_b	110241
116.808	0.0	91	MI_read_CN_heng	116808
122.758	0.0	92	ME_read_CN_heng	122758
129.157	0.0	41	MI_write_CN_na	129157
135.107	0.0	42	ME_write_CN_na	135107
142.091	0.0	131	MI_read_EN_a	142091
148.041	0.0	132	ME_read_EN_a	148041
154.641	0.0	11	MI_write_CN_heng	154641
160.59	0.0	12	ME_write_CN_heng	160590
167.174	0.0	21	MI_write_CN_shu	167174
173.124	0.0	22	ME_write_CN_shu	173124
179.807	0.0	81	MI_write_EN_d	179807
185.757	0.0	82	ME_write_EN_d	185757
192.407	0.0	51	MI_write_EN_a	192407
198.357	0.0	52	ME_write_EN_a	198357
204.807	0.0	111	MI_read_CN_pie	204807
210.756	0.0	112	ME_read_CN_pie	210756
217.29	0.0	11	MI_write_CN_heng	217290
223.24	0.0	12	ME_write_CN_heng	223240
229.656	0.0	151	MI_read_EN_c	229656
235.606	0.0	152	ME_read_EN_c	235606
242.056	0.0	91	MI_read_CN_heng	242056
248.006	0.0	92	ME_read_CN_heng	248006
257.439	0.0	31	MI_write_CN_pie	257439
263.389	0.0	32	ME_write_CN_pie	263389
270.022	0.0	131	MI_read_EN_a	270022
275.972	0.0	132	ME_read_EN_a	275972
282.572	0.0	111	MI_read_CN_pie	282572
288.522	0.0	112	ME_read_CN_pie	288522
295.023	0.0	51	MI_write_EN_a	295023
300.972	0.0	52	ME_write_EN_a	300972
307.705	0.0	141	MI_read_EN_b	307705
313.655	0.0	142	ME_read_EN_b	313655
320.672	0.0	21	MI_write_CN_shu	320672
326.622	0.0	22	ME_write_CN_shu	326622
333.188	0.0	81	MI_write_EN_d	333188
339.138	0.0	82	ME_write_EN_d	339138
345.855	0.0	161	MI_read_EN_d	345855
351.805	0.0	162	ME_read_EN_d	351805
358.404	0.0	41	MI_write_CN_na	358404
364.354	0.0	42	ME_write_CN_na	364354
370.988	0.0	71	MI_write_EN_c	370988
376.938	0.0	72	ME_write_EN_c	376938
383.754	0.0	61	MI_write_EN_b	383754
389.704	0.0	62	ME_write_EN_b	389704
396.254	0.0	121	MI_read_CN_na	396254
402.204	0.0	122	ME_read_CN_na	402204
408.637	0.0	101	MI_read_CN_shu	408637
414.587	0.0	102	ME_read_CN_shu	414587
