onset	duration	value	trial_type	sample
25.656	0.0	121	MI_read_CN_na	25656
31.606	0.0	122	ME_read_CN_na	31606
39.672	0.0	21	MI_write_CN_shu	39672
45.622	0.0	22	ME_write_CN_shu	45622
52.622	0.0	81	MI_write_EN_d	52622
58.572	0.0	82	ME_write_EN_d	58572
65.738	0.0	11	MI_write_CN_heng	65738
71.688	0.0	12	ME_write_CN_heng	71688
78.538	0.0	31	MI_write_CN_pie	78538
84.489	0.0	32	ME_write_CN_pie	84489
91.238	0.0	131	MI_read_EN_a	91238
97.188	0.0	132	ME_read_EN_a	97188
104.338	0.0	161	MI_read_EN_d	104338
110.288	0.0	162	ME_read_EN_d	110288
117.521	0.0	51	MI_write_EN_a	117521
123.471	0.0	52	ME_write_EN_a	123471
130.338	0.0	141	MI_read_EN_b	130338
136.287	0.0	142	ME_read_EN_b	136287
143.071	0.0	71	MI_write_EN_c	143071
149.02	0.0	72	ME_write_EN_c	149020
155.837	0.0	41	MI_write_CN_na	155837
161.787	0.0	42	ME_write_CN_na	161787
170.404	0.0	111	MI_read_CN_pie	170404
176.354	0.0	112	ME_read_CN_pie	176354
185.937	0.0	151	MI_read_EN_c	185937
191.887	0.0	152	ME_read_EN_c	191887
198.687	0.0	91	MI_read_CN_heng	198687
204.636	0.0	92	ME_read_CN_heng	204636
211.486	0.0	61	MI_write_EN_b	211486
217.436	0.0	62	ME_write_EN_b	217436
224.069	0.0	101	MI_read_CN_shu	224069
230.02	0.0	102	ME_read_CN_shu	230020
237.203	0.0	121	MI_read_CN_na	237203
243.153	0.0	122	ME_read_CN_na	243153
249.986	0.0	91	MI_read_CN_heng	249986
255.936	0.0	92	ME_read_CN_heng	255936
262.569	0.0	41	MI_write_CN_na	262569
268.519	0.0	42	ME_write_CN_na	268519
275.419	0.0	31	MI_write_CN_pie	275419
281.369	0.0	32	ME_write_CN_pie	281369
288.302	0.0	101	MI_read_CN_shu	288302
294.251	0.0	102	ME_read_CN_shu	294251
301.018	0.0	51	MI_write_EN_a	301018
306.968	0.0	52	ME_write_EN_a	306968
313.685	0.0	61	MI_write_EN_b	313685
319.634	0.0	62	ME_write_EN_b	319634
326.251	0.0	71	MI_write_EN_c	326251
332.201	0.0	72	ME_write_EN_c	332201
339.234	0.0	151	MI_read_EN_c	339234
345.184	0.0	152	ME_read_EN_c	345184
352.017	0.0	81	MI_write_EN_d	352017
357.967	0.0	82	ME_write_EN_d	357967
365.284	0.0	161	MI_read_EN_d	365284
371.234	0.0	162	ME_read_EN_d	371234
377.95	0.0	11	MI_write_CN_heng	377950
383.9	0.0	12	ME_write_CN_heng	383900
390.4	0.0	21	MI_write_CN_shu	390400
396.35	0.0	22	ME_write_CN_shu	396350
403.066	0.0	141	MI_read_EN_b	403066
409.017	0.0	142	ME_read_EN_b	409017
415.55	0.0	111	MI_read_CN_pie	415550
421.499	0.0	112	ME_read_CN_pie	421499
428.183	0.0	131	MI_read_EN_a	428183
434.133	0.0	132	ME_read_EN_a	434133
