onset	duration	value	trial_type	sample
11.85	0.0	141	MI_read_EN_b	11850
17.8	0.0	142	ME_read_EN_b	17800
24.666	0.0	161	MI_read_EN_d	24666
30.616	0.0	162	ME_read_EN_d	30616
40.133	0.0	131	MI_read_EN_a	40133
46.083	0.0	132	ME_read_EN_a	46083
52.866	0.0	11	MI_write_CN_heng	52866
58.816	0.0	12	ME_write_CN_heng	58816
65.566	0.0	71	MI_write_EN_c	65566
71.516	0.0	72	ME_write_EN_c	71516
78.199	0.0	51	MI_write_EN_a	78199
84.149	0.0	52	ME_write_EN_a	84149
93.865	0.0	21	MI_write_CN_shu	93865
99.815	0.0	22	ME_write_CN_shu	99815
108.748	0.0	101	MI_read_CN_shu	108748
114.698	0.0	102	ME_read_CN_shu	114698
122.698	0.0	31	MI_write_CN_pie	122698
128.648	0.0	32	ME_write_CN_pie	128648
135.515	0.0	91	MI_read_CN_heng	135515
141.464	0.0	92	ME_read_CN_heng	141464
150.064	0.0	121	MI_read_CN_na	150064
156.014	0.0	122	ME_read_CN_na	156014
166.747	0.0	111	MI_read_CN_pie	166747
172.698	0.0	112	ME_read_CN_pie	172698
182.68	0.0	81	MI_write_EN_d	182680
188.63	0.0	82	ME_write_EN_d	188630
196.697	0.0	41	MI_write_CN_na	196697
202.647	0.0	42	ME_write_CN_na	202647
209.697	0.0	61	MI_write_EN_b	209697
215.647	0.0	62	ME_write_EN_b	215647
224.646	0.0	151	MI_read_EN_c	224646
230.597	0.0	152	ME_read_EN_c	230597
240.03	0.0	11	MI_write_CN_heng	240030
245.98	0.0	12	ME_write_CN_heng	245980
255.429	0.0	161	MI_read_EN_d	255429
261.379	0.0	162	ME_read_EN_d	261379
269.379	0.0	91	MI_read_CN_heng	269379
275.329	0.0	92	ME_read_CN_heng	275329
282.162	0.0	51	MI_write_EN_a	282162
288.112	0.0	52	ME_write_EN_a	288112
294.895	0.0	131	MI_read_EN_a	294895
300.846	0.0	132	ME_read_EN_a	300846
307.295	0.0	61	MI_write_EN_b	307295
313.245	0.0	62	ME_write_EN_b	313245
319.895	0.0	121	MI_read_CN_na	319895
325.845	0.0	122	ME_read_CN_na	325845
333.295	0.0	141	MI_read_EN_b	333295
339.245	0.0	142	ME_read_EN_b	339245
345.845	0.0	71	MI_write_EN_c	345845
351.795	0.0	72	ME_write_EN_c	351795
359.345	0.0	151	MI_read_EN_c	359345
365.295	0.0	152	ME_read_EN_c	365295
372.011	0.0	21	MI_write_CN_shu	372011
377.961	0.0	22	ME_write_CN_shu	377961
384.894	0.0	111	MI_read_CN_pie	384894
390.844	0.0	112	ME_read_CN_pie	390844
397.927	0.0	41	MI_write_CN_na	397927
403.877	0.0	42	ME_write_CN_na	403877
411.244	0.0	101	MI_read_CN_shu	411244
417.194	0.0	102	ME_read_CN_shu	417194
426.027	0.0	31	MI_write_CN_pie	426027
431.977	0.0	32	ME_write_CN_pie	431977
439.077	0.0	81	MI_write_EN_d	439077
445.027	0.0	82	ME_write_EN_d	445027
