onset	duration	value	trial_type	sample
9.455	0.0	31	MI_write_CN_pie	9455
15.405	0.0	32	ME_write_CN_pie	15405
23.588	0.0	51	MI_write_EN_a	23588
29.538	0.0	52	ME_write_EN_a	29538
36.171	0.0	161	MI_read_EN_d	36171
42.121	0.0	162	ME_read_EN_d	42121
52.671	0.0	41	MI_write_CN_na	52671
58.621	0.0	42	ME_write_CN_na	58621
66.221	0.0	21	MI_write_CN_shu	66221
72.171	0.0	22	ME_write_CN_shu	72171
79.004	0.0	71	MI_write_EN_c	79004
84.954	0.0	72	ME_write_EN_c	84954
97.287	0.0	151	MI_read_EN_c	97287
103.237	0.0	152	ME_read_EN_c	103237
109.853	0.0	101	MI_read_CN_shu	109853
115.803	0.0	102	ME_read_CN_shu	115803
122.053	0.0	111	MI_read_CN_pie	122053
128.003	0.0	112	ME_read_CN_pie	128003
134.92	0.0	131	MI_read_EN_a	134920
140.87	0.0	132	ME_read_EN_a	140870
147.853	0.0	81	MI_write_EN_d	147853
153.803	0.0	82	ME_write_EN_d	153803
160.419	0.0	91	MI_read_CN_heng	160419
166.369	0.0	92	ME_read_CN_heng	166369
173.086	0.0	61	MI_write_EN_b	173086
179.036	0.0	62	ME_write_EN_b	179036
185.602	0.0	11	MI_write_CN_heng	185602
191.552	0.0	12	ME_write_CN_heng	191552
198.319	0.0	141	MI_read_EN_b	198319
204.269	0.0	142	ME_read_EN_b	204269
211.035	0.0	121	MI_read_CN_na	211035
216.985	0.0	122	ME_read_CN_na	216985
225.468	0.0	11	MI_write_CN_heng	225468
231.418	0.0	12	ME_write_CN_heng	231418
243.902	0.0	131	MI_read_EN_a	243902
249.852	0.0	132	ME_read_EN_a	249852
256.368	0.0	141	MI_read_EN_b	256368
262.318	0.0	142	ME_read_EN_b	262318
269.135	0.0	31	MI_write_CN_pie	269135
275.084	0.0	32	ME_write_CN_pie	275084
281.618	0.0	121	MI_read_CN_na	281618
287.568	0.0	122	ME_read_CN_na	287568
294.234	0.0	91	MI_read_CN_heng	294234
300.184	0.0	92	ME_read_CN_heng	300184
315.034	0.0	101	MI_read_CN_shu	315034
320.984	0.0	102	ME_read_CN_shu	320984
327.317	0.0	81	MI_write_EN_d	327317
333.267	0.0	82	ME_write_EN_d	333267
339.817	0.0	61	MI_write_EN_b	339817
345.767	0.0	62	ME_write_EN_b	345767
352.267	0.0	51	MI_write_EN_a	352267
358.217	0.0	52	ME_write_EN_a	358217
368.85	0.0	41	MI_write_CN_na	368850
374.8	0.0	42	ME_write_CN_na	374800
381.433	0.0	151	MI_read_EN_c	381433
387.383	0.0	152	ME_read_EN_c	387383
394.15	0.0	21	MI_write_CN_shu	394150
400.099	0.0	22	ME_write_CN_shu	400099
406.649	0.0	71	MI_write_EN_c	406649
412.6	0.0	72	ME_write_EN_c	412600
419.066	0.0	161	MI_read_EN_d	419066
425.016	0.0	162	ME_read_EN_d	425016
431.616	0.0	111	MI_read_CN_pie	431616
437.566	0.0	112	ME_read_CN_pie	437566
