onset	duration	value	trial_type	sample
19.544	0.0	111	MI_read_CN_pie	19544
25.494	0.0	112	ME_read_CN_pie	25494
32.444	0.0	31	MI_write_CN_pie	32444
38.394	0.0	32	ME_write_CN_pie	38394
46.227	0.0	101	MI_read_CN_shu	46227
52.177	0.0	102	ME_read_CN_shu	52177
59.177	0.0	81	MI_write_EN_d	59177
65.127	0.0	82	ME_write_EN_d	65127
72.327	0.0	161	MI_read_EN_d	72327
78.277	0.0	162	ME_read_EN_d	78277
87.71	0.0	71	MI_write_EN_c	87710
93.66	0.0	72	ME_write_EN_c	93660
101.593	0.0	61	MI_write_EN_b	101593
107.543	0.0	62	ME_write_EN_b	107543
114.876	0.0	151	MI_read_EN_c	114876
120.826	0.0	152	ME_read_EN_c	120826
133.459	0.0	11	MI_write_CN_heng	133459
139.409	0.0	12	ME_write_CN_heng	139409
146.559	0.0	131	MI_read_EN_a	146559
152.509	0.0	132	ME_read_EN_a	152509
158.925	0.0	141	MI_read_EN_b	158925
164.875	0.0	142	ME_read_EN_b	164875
172.092	0.0	91	MI_read_CN_heng	172092
178.042	0.0	92	ME_read_CN_heng	178042
185.142	0.0	121	MI_read_CN_na	185142
191.091	0.0	122	ME_read_CN_na	191091
198.575	0.0	51	MI_write_EN_a	198575
204.525	0.0	52	ME_write_EN_a	204525
211.808	0.0	41	MI_write_CN_na	211808
217.758	0.0	42	ME_write_CN_na	217758
224.724	0.0	21	MI_write_CN_shu	224724
230.674	0.0	22	ME_write_CN_shu	230674
237.674	0.0	111	MI_read_CN_pie	237674
243.624	0.0	112	ME_read_CN_pie	243624
251.124	0.0	161	MI_read_EN_d	251124
257.074	0.0	162	ME_read_EN_d	257074
266.124	0.0	31	MI_write_CN_pie	266124
272.074	0.0	32	ME_write_CN_pie	272074
279.174	0.0	141	MI_read_EN_b	279174
285.124	0.0	142	ME_read_EN_b	285124
295.107	0.0	11	MI_write_CN_heng	295107
301.057	0.0	12	ME_write_CN_heng	301057
307.84	0.0	101	MI_read_CN_shu	307840
313.79	0.0	102	ME_read_CN_shu	313790
321.606	0.0	71	MI_write_EN_c	321606
327.556	0.0	72	ME_write_EN_c	327556
338.573	0.0	131	MI_read_EN_a	338573
344.523	0.0	132	ME_read_EN_a	344523
354.539	0.0	81	MI_write_EN_d	354539
360.489	0.0	82	ME_write_EN_d	360489
368.422	0.0	51	MI_write_EN_a	368422
374.372	0.0	52	ME_write_EN_a	374372
381.322	0.0	41	MI_write_CN_na	381322
387.272	0.0	42	ME_write_CN_na	387272
394.655	0.0	21	MI_write_CN_shu	394655
400.605	0.0	22	ME_write_CN_shu	400605
408.372	0.0	61	MI_write_EN_b	408372
414.321	0.0	62	ME_write_EN_b	414321
422.555	0.0	121	MI_read_CN_na	422555
428.505	0.0	122	ME_read_CN_na	428505
438.255	0.0	91	MI_read_CN_heng	438255
444.205	0.0	92	ME_read_CN_heng	444205
451.121	0.0	151	MI_read_EN_c	451121
457.071	0.0	152	ME_read_EN_c	457071
