onset	duration	value	trial_type	sample
20.489	0.0	21	MI_write_CN_shu	20489
26.439	0.0	22	ME_write_CN_shu	26439
32.906	0.0	71	MI_write_EN_c	32906
38.856	0.0	72	ME_write_EN_c	38856
48.072	0.0	121	MI_read_CN_na	48072
54.022	0.0	122	ME_read_CN_na	54022
60.405	0.0	111	MI_read_CN_pie	60405
66.355	0.0	112	ME_read_CN_pie	66355
73.855	0.0	141	MI_read_EN_b	73855
79.805	0.0	142	ME_read_EN_b	79805
86.289	0.0	151	MI_read_EN_c	86289
92.238	0.0	152	ME_read_EN_c	92238
99.572	0.0	51	MI_write_EN_a	99572
105.522	0.0	52	ME_write_EN_a	105522
113.438	0.0	131	MI_read_EN_a	113438
119.388	0.0	132	ME_read_EN_a	119388
125.755	0.0	11	MI_write_CN_heng	125755
131.705	0.0	12	ME_write_CN_heng	131705
138.404	0.0	81	MI_write_EN_d	138404
144.354	0.0	82	ME_write_EN_d	144354
152.488	0.0	31	MI_write_CN_pie	152488
158.437	0.0	32	ME_write_CN_pie	158437
165.504	0.0	101	MI_read_CN_shu	165504
171.454	0.0	102	ME_read_CN_shu	171454
178.004	0.0	61	MI_write_EN_b	178004
183.954	0.0	62	ME_write_EN_b	183954
190.537	0.0	41	MI_write_CN_na	190537
196.487	0.0	42	ME_write_CN_na	196487
202.887	0.0	91	MI_read_CN_heng	202887
208.837	0.0	92	ME_read_CN_heng	208837
215.403	0.0	161	MI_read_EN_d	215403
221.353	0.0	162	ME_read_EN_d	221353
229.303	0.0	121	MI_read_CN_na	229303
235.253	0.0	122	ME_read_CN_na	235253
242.036	0.0	81	MI_write_EN_d	242036
247.986	0.0	82	ME_write_EN_d	247986
254.67	0.0	91	MI_read_CN_heng	254670
260.619	0.0	92	ME_read_CN_heng	260619
266.986	0.0	151	MI_read_EN_c	266986
272.936	0.0	152	ME_read_EN_c	272936
279.603	0.0	161	MI_read_EN_d	279603
285.552	0.0	162	ME_read_EN_d	285552
292.736	0.0	41	MI_write_CN_na	292736
298.686	0.0	42	ME_write_CN_na	298686
305.385	0.0	71	MI_write_EN_c	305385
311.335	0.0	72	ME_write_EN_c	311335
318.519	0.0	31	MI_write_CN_pie	318519
324.469	0.0	32	ME_write_CN_pie	324469
330.935	0.0	131	MI_read_EN_a	330935
336.885	0.0	132	ME_read_EN_a	336885
343.385	0.0	11	MI_write_CN_heng	343385
349.335	0.0	12	ME_write_CN_heng	349335
358.485	0.0	111	MI_read_CN_pie	358485
364.435	0.0	112	ME_read_CN_pie	364435
372.468	0.0	141	MI_read_EN_b	372468
378.418	0.0	142	ME_read_EN_b	378418
384.801	0.0	61	MI_write_EN_b	384801
390.751	0.0	62	ME_write_EN_b	390751
397.184	0.0	51	MI_write_EN_a	397184
403.134	0.0	52	ME_write_EN_a	403134
409.951	0.0	101	MI_read_CN_shu	409951
415.901	0.0	102	ME_read_CN_shu	415901
423.867	0.0	21	MI_write_CN_shu	423867
429.817	0.0	22	ME_write_CN_shu	429817
