onset	duration	value	trial_type	sample
14.183	0.0	11	MI_write_CN_heng	14183
20.132	0.0	12	ME_write_CN_heng	20132
27.232	0.0	101	MI_read_CN_shu	27232
33.182	0.0	102	ME_read_CN_shu	33182
40.698	0.0	81	MI_write_EN_d	40698
46.648	0.0	82	ME_write_EN_d	46648
62.931	0.0	161	MI_read_EN_d	62931
68.881	0.0	162	ME_read_EN_d	68881
75.898	0.0	71	MI_write_EN_c	75898
81.848	0.0	72	ME_write_EN_c	81848
89.547	0.0	151	MI_read_EN_c	89547
95.497	0.0	152	ME_read_EN_c	95497
102.914	0.0	21	MI_write_CN_shu	102914
108.864	0.0	22	ME_write_CN_shu	108864
118.597	0.0	91	MI_read_CN_heng	118597
124.547	0.0	92	ME_read_CN_heng	124547
131.447	0.0	121	MI_read_CN_na	131447
137.397	0.0	122	ME_read_CN_na	137397
144.297	0.0	31	MI_write_CN_pie	144297
150.247	0.0	32	ME_write_CN_pie	150247
158.43	0.0	51	MI_write_EN_a	158430
164.38	0.0	52	ME_write_EN_a	164380
175.397	0.0	61	MI_write_EN_b	175397
181.346	0.0	62	ME_write_EN_b	181346
190.696	0.0	141	MI_read_EN_b	190696
196.646	0.0	142	ME_read_EN_b	196646
203.946	0.0	131	MI_read_EN_a	203946
209.896	0.0	132	ME_read_EN_a	209896
217.229	0.0	111	MI_read_CN_pie	217229
223.18	0.0	112	ME_read_CN_pie	223180
234.746	0.0	41	MI_write_CN_na	234746
240.696	0.0	42	ME_write_CN_na	240696
247.812	0.0	101	MI_read_CN_shu	247812
253.762	0.0	102	ME_read_CN_shu	253762
263.695	0.0	121	MI_read_CN_na	263695
269.645	0.0	122	ME_read_CN_na	269645
276.512	0.0	151	MI_read_EN_c	276512
282.462	0.0	152	ME_read_EN_c	282462
289.862	0.0	141	MI_read_EN_b	289862
295.812	0.0	142	ME_read_EN_b	295812
302.645	0.0	81	MI_write_EN_d	302645
308.595	0.0	82	ME_write_EN_d	308595
317.461	0.0	131	MI_read_EN_a	317461
323.411	0.0	132	ME_read_EN_a	323411
330.211	0.0	61	MI_write_EN_b	330211
336.161	0.0	62	ME_write_EN_b	336161
343.128	0.0	11	MI_write_CN_heng	343128
349.078	0.0	12	ME_write_CN_heng	349078
356.161	0.0	51	MI_write_EN_a	356161
362.111	0.0	52	ME_write_EN_a	362111
370.678	0.0	161	MI_read_EN_d	370678
376.627	0.0	162	ME_read_EN_d	376627
384.861	0.0	71	MI_write_EN_c	384861
390.81	0.0	72	ME_write_EN_c	390810
404.96	0.0	31	MI_write_CN_pie	404960
410.91	0.0	32	ME_write_CN_pie	410910
419.86	0.0	41	MI_write_CN_na	419860
425.81	0.0	42	ME_write_CN_na	425810
433.76	0.0	91	MI_read_CN_heng	433760
439.71	0.0	92	ME_read_CN_heng	439710
448.61	0.0	111	MI_read_CN_pie	448610
454.56	0.0	112	ME_read_CN_pie	454560
461.543	0.0	21	MI_write_CN_shu	461543
467.493	0.0	22	ME_write_CN_shu	467493
