onset	duration	value	trial_type	sample
9.014	0.0	121	MI_read_CN_na	9014
14.964	0.0	122	ME_read_CN_na	14964
21.747	0.0	101	MI_read_CN_shu	21747
27.697	0.0	102	ME_read_CN_shu	27697
35.03	0.0	91	MI_read_CN_heng	35030
40.98	0.0	92	ME_read_CN_heng	40980
47.763	0.0	31	MI_write_CN_pie	47763
53.713	0.0	32	ME_write_CN_pie	53713
60.113	0.0	11	MI_write_CN_heng	60113
66.063	0.0	12	ME_write_CN_heng	66063
72.563	0.0	21	MI_write_CN_shu	72563
78.513	0.0	22	ME_write_CN_shu	78513
85.396	0.0	161	MI_read_EN_d	85396
91.346	0.0	162	ME_read_EN_d	91346
97.896	0.0	131	MI_read_EN_a	97896
103.846	0.0	132	ME_read_EN_a	103846
110.812	0.0	141	MI_read_EN_b	110812
116.762	0.0	142	ME_read_EN_b	116762
123.646	0.0	51	MI_write_EN_a	123646
129.596	0.0	52	ME_write_EN_a	129596
136.362	0.0	111	MI_read_CN_pie	136362
142.312	0.0	112	ME_read_CN_pie	142312
149.229	0.0	41	MI_write_CN_na	149229
155.178	0.0	42	ME_write_CN_na	155178
161.829	0.0	61	MI_write_EN_b	161829
167.778	0.0	62	ME_write_EN_b	167778
174.411	0.0	151	MI_read_EN_c	174411
180.361	0.0	152	ME_read_EN_c	180361
187.011	0.0	71	MI_write_EN_c	187011
192.961	0.0	72	ME_write_EN_c	192961
201.828	0.0	81	MI_write_EN_d	201828
207.778	0.0	82	ME_write_EN_d	207778
215.061	0.0	91	MI_read_CN_heng	215061
221.011	0.0	92	ME_read_CN_heng	221011
227.361	0.0	61	MI_write_EN_b	227361
233.31	0.0	62	ME_write_EN_b	233310
240.044	0.0	111	MI_read_CN_pie	240044
245.994	0.0	112	ME_read_CN_pie	245994
252.477	0.0	81	MI_write_EN_d	252477
258.427	0.0	82	ME_write_EN_d	258427
265.543	0.0	51	MI_write_EN_a	265543
271.493	0.0	52	ME_write_EN_a	271493
278.41	0.0	141	MI_read_EN_b	278410
284.36	0.0	142	ME_read_EN_b	284360
290.876	0.0	11	MI_write_CN_heng	290876
296.826	0.0	12	ME_write_CN_heng	296826
303.776	0.0	161	MI_read_EN_d	303776
309.726	0.0	162	ME_read_EN_d	309726
316.459	0.0	121	MI_read_CN_na	316459
322.409	0.0	122	ME_read_CN_na	322409
328.909	0.0	41	MI_write_CN_na	328909
334.86	0.0	42	ME_write_CN_na	334860
341.559	0.0	71	MI_write_EN_c	341559
347.509	0.0	72	ME_write_EN_c	347509
354.476	0.0	21	MI_write_CN_shu	354476
360.425	0.0	22	ME_write_CN_shu	360425
367.175	0.0	131	MI_read_EN_a	367175
373.126	0.0	132	ME_read_EN_a	373126
379.542	0.0	151	MI_read_EN_c	379542
385.492	0.0	152	ME_read_EN_c	385492
392.642	0.0	31	MI_write_CN_pie	392642
398.592	0.0	32	ME_write_CN_pie	398592
405.225	0.0	101	MI_read_CN_shu	405225
411.175	0.0	102	ME_read_CN_shu	411175
