onset	duration	value	trial_type	sample
13.87	0.0	151	MI_read_EN_c	13870
19.82	0.0	152	ME_read_EN_c	19820
26.02	0.0	131	MI_read_EN_a	26020
31.97	0.0	132	ME_read_EN_a	31970
38.153	0.0	161	MI_read_EN_d	38153
44.103	0.0	162	ME_read_EN_d	44103
50.353	0.0	81	MI_write_EN_d	50353
56.303	0.0	82	ME_write_EN_d	56303
62.52	0.0	11	MI_write_CN_heng	62520
68.469	0.0	12	ME_write_CN_heng	68469
74.853	0.0	21	MI_write_CN_shu	74853
80.803	0.0	22	ME_write_CN_shu	80803
86.903	0.0	61	MI_write_EN_b	86903
92.852	0.0	62	ME_write_EN_b	92852
99.186	0.0	31	MI_write_CN_pie	99186
105.136	0.0	32	ME_write_CN_pie	105136
111.336	0.0	41	MI_write_CN_na	111336
117.286	0.0	42	ME_write_CN_na	117286
123.568	0.0	141	MI_read_EN_b	123568
129.518	0.0	142	ME_read_EN_b	129518
135.718	0.0	111	MI_read_CN_pie	135718
141.668	0.0	112	ME_read_CN_pie	141668
151.635	0.0	51	MI_write_EN_a	151635
157.585	0.0	52	ME_write_EN_a	157585
164.368	0.0	91	MI_read_CN_heng	164368
170.318	0.0	92	ME_read_CN_heng	170318
176.601	0.0	121	MI_read_CN_na	176601
182.551	0.0	122	ME_read_CN_na	182551
188.817	0.0	101	MI_read_CN_shu	188817
194.767	0.0	102	ME_read_CN_shu	194767
200.984	0.0	71	MI_write_EN_c	200984
206.934	0.0	72	ME_write_EN_c	206934
213.184	0.0	91	MI_read_CN_heng	213184
219.134	0.0	92	ME_read_CN_heng	219134
225.567	0.0	81	MI_write_EN_d	225567
231.517	0.0	82	ME_write_EN_d	231517
237.734	0.0	161	MI_read_EN_d	237734
243.684	0.0	162	ME_read_EN_d	243684
249.883	0.0	131	MI_read_EN_a	249883
255.833	0.0	132	ME_read_EN_a	255833
262.05	0.0	141	MI_read_EN_b	262050
268.0	0.0	142	ME_read_EN_b	268000
274.216	0.0	101	MI_read_CN_shu	274216
280.166	0.0	102	ME_read_CN_shu	280166
286.733	0.0	21	MI_write_CN_shu	286733
292.683	0.0	22	ME_write_CN_shu	292683
298.916	0.0	71	MI_write_EN_c	298916
304.866	0.0	72	ME_write_EN_c	304866
311.183	0.0	41	MI_write_CN_na	311183
317.133	0.0	42	ME_write_CN_na	317133
323.416	0.0	151	MI_read_EN_c	323416
329.366	0.0	152	ME_read_EN_c	329366
335.616	0.0	11	MI_write_CN_heng	335616
341.565	0.0	12	ME_write_CN_heng	341565
347.799	0.0	111	MI_read_CN_pie	347799
353.749	0.0	112	ME_read_CN_pie	353749
360.115	0.0	31	MI_write_CN_pie	360115
366.065	0.0	32	ME_write_CN_pie	366065
372.365	0.0	61	MI_write_EN_b	372365
378.315	0.0	62	ME_write_EN_b	378315
384.732	0.0	121	MI_read_CN_na	384732
390.682	0.0	122	ME_read_CN_na	390682
396.998	0.0	51	MI_write_EN_a	396998
402.948	0.0	52	ME_write_EN_a	402948
