onset	duration	value	trial_type	sample
6.643	0.0	121	MI_read_CN_na	6643
12.592	0.0	122	ME_read_CN_na	12592
19.859	0.0	131	MI_read_EN_a	19859
25.809	0.0	132	ME_read_EN_a	25809
32.808	0.0	41	MI_write_CN_na	32808
38.758	0.0	42	ME_write_CN_na	38758
45.758	0.0	51	MI_write_EN_a	45758
51.708	0.0	52	ME_write_EN_a	51708
58.624	0.0	61	MI_write_EN_b	58624
64.574	0.0	62	ME_write_EN_b	64574
71.391	0.0	31	MI_write_CN_pie	71391
77.341	0.0	32	ME_write_CN_pie	77341
83.857	0.0	81	MI_write_EN_d	83857
89.807	0.0	82	ME_write_EN_d	89807
96.357	0.0	141	MI_read_EN_b	96357
102.307	0.0	142	ME_read_EN_b	102307
109.24	0.0	91	MI_read_CN_heng	109240
115.19	0.0	92	ME_read_CN_heng	115190
121.89	0.0	71	MI_write_EN_c	121890
127.84	0.0	72	ME_write_EN_c	127840
134.407	0.0	111	MI_read_CN_pie	134407
140.357	0.0	112	ME_read_CN_pie	140357
146.873	0.0	161	MI_read_EN_d	146873
152.823	0.0	162	ME_read_EN_d	152823
159.056	0.0	21	MI_write_CN_shu	159056
165.006	0.0	22	ME_write_CN_shu	165006
171.89	0.0	101	MI_read_CN_shu	171890
177.839	0.0	102	ME_read_CN_shu	177839
184.089	0.0	11	MI_write_CN_heng	184089
190.039	0.0	12	ME_write_CN_heng	190039
196.589	0.0	151	MI_read_EN_c	196589
202.539	0.0	152	ME_read_EN_c	202539
209.206	0.0	131	MI_read_EN_a	209206
215.155	0.0	132	ME_read_EN_a	215155
222.022	0.0	151	MI_read_EN_c	222022
227.972	0.0	152	ME_read_EN_c	227972
234.439	0.0	31	MI_write_CN_pie	234439
240.388	0.0	32	ME_write_CN_pie	240388
246.738	0.0	21	MI_write_CN_shu	246738
252.688	0.0	22	ME_write_CN_shu	252688
259.405	0.0	61	MI_write_EN_b	259405
265.355	0.0	62	ME_write_EN_b	265355
272.021	0.0	101	MI_read_CN_shu	272021
277.971	0.0	102	ME_read_CN_shu	277971
284.538	0.0	81	MI_write_EN_d	284538
290.488	0.0	82	ME_write_EN_d	290488
297.171	0.0	111	MI_read_CN_pie	297171
303.121	0.0	112	ME_read_CN_pie	303121
309.754	0.0	91	MI_read_CN_heng	309754
315.704	0.0	92	ME_read_CN_heng	315704
322.321	0.0	161	MI_read_EN_d	322321
328.271	0.0	162	ME_read_EN_d	328271
334.704	0.0	121	MI_read_CN_na	334704
340.654	0.0	122	ME_read_CN_na	340654
347.22	0.0	141	MI_read_EN_b	347220
353.171	0.0	142	ME_read_EN_b	353171
359.687	0.0	51	MI_write_EN_a	359687
365.637	0.0	52	ME_write_EN_a	365637
372.27	0.0	41	MI_write_CN_na	372270
378.22	0.0	42	ME_write_CN_na	378220
384.787	0.0	71	MI_write_EN_c	384787
390.737	0.0	72	ME_write_EN_c	390737
397.353	0.0	11	MI_write_CN_heng	397353
403.303	0.0	12	ME_write_CN_heng	403303
