onset	duration	value	trial_type	sample
21.571	0.0	91	MI_read_CN_heng	21571
27.521	0.0	92	ME_read_CN_heng	27521
38.254	0.0	141	MI_read_EN_b	38254
44.204	0.0	142	ME_read_EN_b	44204
50.638	0.0	161	MI_read_EN_d	50638
56.588	0.0	162	ME_read_EN_d	56588
63.204	0.0	51	MI_write_EN_a	63204
69.154	0.0	52	ME_write_EN_a	69154
75.887	0.0	41	MI_write_CN_na	75887
81.837	0.0	42	ME_write_CN_na	81837
88.304	0.0	71	MI_write_EN_c	88304
94.254	0.0	72	ME_write_EN_c	94254
100.954	0.0	31	MI_write_CN_pie	100954
106.903	0.0	32	ME_write_CN_pie	106903
113.387	0.0	61	MI_write_EN_b	113387
119.337	0.0	62	ME_write_EN_b	119337
127.237	0.0	81	MI_write_EN_d	127237
133.186	0.0	82	ME_write_EN_d	133186
141.386	0.0	11	MI_write_CN_heng	141386
147.336	0.0	12	ME_write_CN_heng	147336
154.07	0.0	101	MI_read_CN_shu	154070
160.019	0.0	102	ME_read_CN_shu	160019
166.603	0.0	111	MI_read_CN_pie	166603
172.552	0.0	112	ME_read_CN_pie	172552
178.936	0.0	21	MI_write_CN_shu	178936
184.886	0.0	22	ME_write_CN_shu	184886
191.652	0.0	131	MI_read_EN_a	191652
197.602	0.0	132	ME_read_EN_a	197602
204.035	0.0	121	MI_read_CN_na	204035
209.985	0.0	122	ME_read_CN_na	209985
216.352	0.0	151	MI_read_EN_c	216352
222.302	0.0	152	ME_read_EN_c	222302
228.785	0.0	21	MI_write_CN_shu	228785
234.735	0.0	22	ME_write_CN_shu	234735
241.185	0.0	141	MI_read_EN_b	241185
247.135	0.0	142	ME_read_EN_b	247135
253.518	0.0	161	MI_read_EN_d	253518
259.468	0.0	162	ME_read_EN_d	259468
265.918	0.0	151	MI_read_EN_c	265918
271.868	0.0	152	ME_read_EN_c	271868
278.501	0.0	111	MI_read_CN_pie	278501
284.451	0.0	112	ME_read_CN_pie	284451
290.818	0.0	91	MI_read_CN_heng	290818
296.767	0.0	92	ME_read_CN_heng	296767
303.284	0.0	71	MI_write_EN_c	303284
309.234	0.0	72	ME_write_EN_c	309234
315.584	0.0	11	MI_write_CN_heng	315584
321.534	0.0	12	ME_write_CN_heng	321534
327.884	0.0	41	MI_write_CN_na	327884
333.834	0.0	42	ME_write_CN_na	333834
340.234	0.0	31	MI_write_CN_pie	340234
346.183	0.0	32	ME_write_CN_pie	346183
352.567	0.0	81	MI_write_EN_d	352567
358.517	0.0	82	ME_write_EN_d	358517
364.967	0.0	61	MI_write_EN_b	364967
370.917	0.0	62	ME_write_EN_b	370917
377.416	0.0	51	MI_write_EN_a	377416
383.366	0.0	52	ME_write_EN_a	383366
389.95	0.0	121	MI_read_CN_na	389950
395.899	0.0	122	ME_read_CN_na	395899
402.449	0.0	131	MI_read_EN_a	402449
408.399	0.0	132	ME_read_EN_a	408399
414.816	0.0	101	MI_read_CN_shu	414816
420.766	0.0	102	ME_read_CN_shu	420766
