onset	duration	value	trial_type	sample
16.034	0.0	71	MI_write_EN_c	16034
21.984	0.0	72	ME_write_EN_c	21984
28.734	0.0	51	MI_write_EN_a	28734
34.684	0.0	52	ME_write_EN_a	34684
41.817	0.0	151	MI_read_EN_c	41817
47.767	0.0	152	ME_read_EN_c	47767
54.633	0.0	41	MI_write_CN_na	54633
60.583	0.0	42	ME_write_CN_na	60583
67.617	0.0	161	MI_read_EN_d	67617
73.567	0.0	162	ME_read_EN_d	73567
80.083	0.0	21	MI_write_CN_shu	80083
86.033	0.0	22	ME_write_CN_shu	86033
93.15	0.0	111	MI_read_CN_pie	93150
99.1	0.0	112	ME_read_CN_pie	99100
105.633	0.0	131	MI_read_EN_a	105633
111.583	0.0	132	ME_read_EN_a	111583
118.299	0.0	101	MI_read_CN_shu	118299
124.249	0.0	102	ME_read_CN_shu	124249
131.082	0.0	141	MI_read_EN_b	131082
137.032	0.0	142	ME_read_EN_b	137032
143.566	0.0	81	MI_write_EN_d	143566
149.516	0.0	82	ME_write_EN_d	149516
156.532	0.0	91	MI_read_CN_heng	156532
162.482	0.0	92	ME_read_CN_heng	162482
168.899	0.0	31	MI_write_CN_pie	168899
174.849	0.0	32	ME_write_CN_pie	174849
181.215	0.0	11	MI_write_CN_heng	181215
187.165	0.0	12	ME_write_CN_heng	187165
194.331	0.0	61	MI_write_EN_b	194331
200.282	0.0	62	ME_write_EN_b	200282
207.231	0.0	121	MI_read_CN_na	207231
213.181	0.0	122	ME_read_CN_na	213181
219.598	0.0	111	MI_read_CN_pie	219598
225.548	0.0	112	ME_read_CN_pie	225548
231.931	0.0	91	MI_read_CN_heng	231931
237.881	0.0	92	ME_read_CN_heng	237881
244.514	0.0	71	MI_write_EN_c	244514
250.464	0.0	72	ME_write_EN_c	250464
257.031	0.0	141	MI_read_EN_b	257031
262.98	0.0	142	ME_read_EN_b	262980
269.68	0.0	31	MI_write_CN_pie	269680
275.632	0.0	32	ME_write_CN_pie	275632
282.597	0.0	41	MI_write_CN_na	282597
288.547	0.0	42	ME_write_CN_na	288547
295.28	0.0	11	MI_write_CN_heng	295280
301.23	0.0	12	ME_write_CN_heng	301230
308.53	0.0	51	MI_write_EN_a	308530
314.48	0.0	52	ME_write_EN_a	314480
321.379	0.0	101	MI_read_CN_shu	321379
327.329	0.0	102	ME_read_CN_shu	327329
334.08	0.0	161	MI_read_EN_d	334080
340.029	0.0	162	ME_read_EN_d	340029
347.179	0.0	151	MI_read_EN_c	347179
353.129	0.0	152	ME_read_EN_c	353129
359.979	0.0	131	MI_read_EN_a	359979
365.929	0.0	132	ME_read_EN_a	365929
372.696	0.0	61	MI_write_EN_b	372696
378.645	0.0	62	ME_write_EN_b	378645
385.646	0.0	121	MI_read_CN_na	385646
391.595	0.0	122	ME_read_CN_na	391595
398.345	0.0	81	MI_write_EN_d	398345
404.295	0.0	82	ME_write_EN_d	404295
411.262	0.0	21	MI_write_CN_shu	411262
417.212	0.0	22	ME_write_CN_shu	417212
