onset	duration	value	trial_type	sample
19.673	0.0	141	MI_read_EN_b	19673
25.623	0.0	142	ME_read_EN_b	25623
32.39	0.0	101	MI_read_CN_shu	32390
38.34	0.0	102	ME_read_CN_shu	38340
46.506	0.0	131	MI_read_EN_a	46506
52.456	0.0	132	ME_read_EN_a	52456
59.006	0.0	111	MI_read_CN_pie	59006
64.956	0.0	112	ME_read_CN_pie	64956
71.707	0.0	41	MI_write_CN_na	71707
77.656	0.0	42	ME_write_CN_na	77656
85.039	0.0	61	MI_write_EN_b	85039
90.989	0.0	62	ME_write_EN_b	90989
97.607	0.0	151	MI_read_EN_c	97607
103.556	0.0	152	ME_read_EN_c	103556
110.422	0.0	21	MI_write_CN_shu	110422
116.372	0.0	22	ME_write_CN_shu	116372
123.039	0.0	51	MI_write_EN_a	123039
128.991	0.0	52	ME_write_EN_a	128991
135.655	0.0	81	MI_write_EN_d	135655
141.606	0.0	82	ME_write_EN_d	141606
150.205	0.0	121	MI_read_CN_na	150205
156.155	0.0	122	ME_read_CN_na	156155
162.738	0.0	31	MI_write_CN_pie	162738
168.688	0.0	32	ME_write_CN_pie	168688
175.272	0.0	91	MI_read_CN_heng	175272
181.223	0.0	92	ME_read_CN_heng	181223
188.105	0.0	11	MI_write_CN_heng	188105
194.055	0.0	12	ME_write_CN_heng	194055
200.589	0.0	71	MI_write_EN_c	200589
206.538	0.0	72	ME_write_EN_c	206538
213.121	0.0	161	MI_read_EN_d	213121
219.071	0.0	162	ME_read_EN_d	219071
226.507	0.0	131	MI_read_EN_a	226507
232.454	0.0	132	ME_read_EN_a	232454
239.187	0.0	41	MI_write_CN_na	239187
245.137	0.0	42	ME_write_CN_na	245137
253.337	0.0	161	MI_read_EN_d	253337
259.288	0.0	162	ME_read_EN_d	259288
266.753	0.0	81	MI_write_EN_d	266753
272.72	0.0	82	ME_write_EN_d	272720
279.37	0.0	91	MI_read_CN_heng	279370
285.32	0.0	92	ME_read_CN_heng	285320
291.887	0.0	71	MI_write_EN_c	291887
297.836	0.0	72	ME_write_EN_c	297836
304.387	0.0	11	MI_write_CN_heng	304387
310.336	0.0	12	ME_write_CN_heng	310336
317.154	0.0	111	MI_read_CN_pie	317154
323.103	0.0	112	ME_read_CN_pie	323103
329.604	0.0	31	MI_write_CN_pie	329604
335.553	0.0	32	ME_write_CN_pie	335553
342.002	0.0	151	MI_read_EN_c	342002
347.952	0.0	152	ME_read_EN_c	347952
356.07	0.0	51	MI_write_EN_a	356070
362.019	0.0	52	ME_write_EN_a	362019
368.552	0.0	21	MI_write_CN_shu	368552
374.503	0.0	22	ME_write_CN_shu	374503
381.002	0.0	121	MI_read_CN_na	381002
386.952	0.0	122	ME_read_CN_na	386952
393.468	0.0	101	MI_read_CN_shu	393468
399.418	0.0	102	ME_read_CN_shu	399418
407.553	0.0	141	MI_read_EN_b	407553
413.504	0.0	142	ME_read_EN_b	413504
420.153	0.0	61	MI_write_EN_b	420153
426.102	0.0	62	ME_write_EN_b	426102
